item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
honey,banana,jam,oil,chocolate,beans,orange,onion,eggs,tomato,
orange,beans,milk,honey,banana,bread,juice,rice,lentils,,
juice,orange,coffee,rice,sugar,,,,,,
coffee,honey,apple,cheese,butter,potato,juice,banana,,,
coffee,eggs,potato,honey,juice,milk,lentils,bread,,,
juice,bread,orange,banana,butter,spices,beans,apple,jam,tomato,lentils
butter,spices,onion,apple,rice,potato,jam,,,,
juice,beans,rice,sugar,tomato,spices,butter,salt,,,
jam,eggs,honey,salt,orange,sugar,coffee,tomato,spices,,
potato,eggs,banana,salt,coffee,,,,,,
sugar,apple,chocolate,banana,bread,tea,lentils,jam,coffee,onion,tomato
spices,onion,orange,jam,cheese,oil,lentils,,,,
cheese,salt,eggs,milk,banana,tea,oil,sugar,coffee,butter,
coffee,banana,tea,salt,lentils,rice,eggs,potato,,,
honey,milk,rice,lentils,jam,eggs,beans,coffee,,,
potato,tea,salt,juice,eggs,jam,sugar,lentils,onion,rice,
oil,coffee,bread,milk,sugar,onion,,,,,
rice,lentils,jam,potato,eggs,cheese,chocolate,salt,tomato,,
tea,rice,eggs,banana,coffee,milk,juice,chocolate,jam,,
bread,oil,rice,beans,eggs,salt,,,,,
tea,rice,butter,eggs,onion,orange,coffee,salt,,,
milk,lentils,coffee,tomato,potato,honey,cheese,apple,chocolate,bread,
bread,chocolate,banana,eggs,orange,sugar,salt,apple,lentils,,
orange,tomato,lentils,chocolate,potato,sugar,juice,butter,rice,bread,
oil,cheese,eggs,sugar,tea,spices,orange,bread,,,
tea,onion,coffee,oil,eggs,,,,,,
cheese,eggs,spices,jam,oil,bread,chocolate,juice,rice,tea,
banana,spices,bread,butter,tomato,,,,,,
beans,onion,tea,spices,chocolate,potato,coffee,milk,lentils,banana,sugar
spices,lentils,onion,coffee,potato,jam,,,,,
salt,sugar,milk,banana,jam,,,,,,
potato,orange,onion,beans,chocolate,eggs,sugar,,,,
honey,onion,jam,tomato,cheese,spices,sugar,potato,,,
oil,bread,milk,orange,tea,rice,salt,spices,,,
onion,honey,rice,sugar,cheese,bread,lentils,banana,salt,eggs,
apple,honey,banana,spices,orange,onion,,,,,
apple,butter,onion,tomato,jam,eggs,,,,,
